                               Labor Force Data by County, 2016 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN0112500000000   01     125   Tuscaloosa County, AL                             2016        99,416       93,818      5,598      5.6
CN0112700000000   01     127   Walker County, AL                                 2016        25,607       23,706      1,901      7.4
CN0112900000000   01     129   Washington County, AL                             2016         6,752        6,172        580      8.6
CN0113100000000   01     131   Wilcox County, AL                                 2016         2,822        2,416        406     14.4
CN0113300000000   01     133   Winston County, AL                                2016         9,548        8,872        676      7.1
CN0201300000000   02     013   Aleutians East Borough, AK                        2016         2,587        2,517         70      2.7
CN0201600000000   02     016   Aleutians West Census Area, AK                    2016         3,978        3,846        132      3.3
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2016       155,461      146,890      8,571      5.5
CN0205000000000   02     050   Bethel Census Area, AK                            2016         7,246        6,214      1,032     14.2
CN0206000000000   02     060   Bristol Bay Borough, AK                           2016           413          384         29      7.0
CN0206800000000   02     068   Denali Borough, AK                                2016         1,094          995         99      9.0
CN0207000000000   02     070   Dillingham Census Area, AK                        2016         2,077        1,877        200      9.6
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2016        46,449       43,717      2,732      5.9
CN0210000000000   02     100   Haines Borough, AK                                2016         1,074          964        110     10.2
CN0210500000000   02     105   Hoonah-Angoon Census Area, AK                     2016         1,205        1,062        143     11.9
CN0211000000000   02     110   Juneau Borough/city, AK                           2016        17,338       16,559        779      4.5
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2016        27,161       24,847      2,314      8.5
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2016         7,026        6,566        460      6.5
CN0215000000000   02     150   Kodiak Island Borough, AK                         2016         6,416        6,086        330      5.1
CN0215800000000   02     158   Kusilvak Census Area, AK                          2016         2,725        2,136        589     21.6
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2016           655          573         82     12.5
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2016        47,408       43,505      3,903      8.2
CN0218000000000   02     180   Nome Census Area, AK                              2016         4,084        3,565        519     12.7
CN0218500000000   02     185   North Slope Borough, AK                           2016         3,953        3,685        268      6.8
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2016         2,964        2,490        474     16.0
CN0219500000000   02     195   Petersburg Borough, AK                            2016         1,450        1,319        131      9.0
CN0219800000000   02     198   Prince of Wales-Hyder Census Area, AK             2016         2,768        2,431        337     12.2
CN0222000000000   02     220   Sitka Borough/city, AK                            2016         4,371        4,169        202      4.6
CN0223000000000   02     230   Skagway Municipality, AK                          2016           805          715         90     11.2
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2016         2,996        2,674        322     10.7
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2016         4,810        4,396        414      8.6
CN0227500000000   02     275   Wrangell Borough/city, AK                         2016         1,055          975         80      7.6
CN0228200000000   02     282   Yakutat Borough/city, AK                          2016           243          223         20      8.2
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2016         2,423        1,990        433     17.9
CN0400100000000   04     001   Apache County, AZ                                 2016        20,320       17,984      2,336     11.5
CN0400300000000   04     003   Cochise County, AZ                                2016        49,597       46,498      3,099      6.2
CN0400500000000   04     005   Coconino County, AZ                               2016        74,181       69,706      4,475      6.0
CN0400700000000   04     007   Gila County, AZ                                   2016        20,996       19,474      1,522      7.2
CN0400900000000   04     009   Graham County, AZ                                 2016        14,373       13,402        971      6.8
CN0401100000000   04     011   Greenlee County, AZ                               2016         3,900        3,604        296      7.6
CN0401200000000   04     012   La Paz County, AZ                                 2016         8,470        7,957        513      6.1
CN0401300000000   04     013   Maricopa County, AZ                               2016     2,080,523    1,985,001     95,522      4.6
CN0401500000000   04     015   Mohave County, AZ                                 2016        80,509       75,168      5,341      6.6
CN0401700000000   04     017   Navajo County, AZ                                 2016        41,330       37,908      3,422      8.3
CN0401900000000   04     019   Pima County, AZ                                   2016       469,613      446,263     23,350      5.0
CN0402100000000   04     021   Pinal County, AZ                                  2016       163,946      154,832      9,114      5.6
CN0402300000000   04     023   Santa Cruz County, AZ                             2016        19,192       17,261      1,931     10.1
CN0402500000000   04     025   Yavapai County, AZ                                2016        99,526       94,609      4,917      4.9
CN0402700000000   04     027   Yuma County, AZ                                   2016        94,117       76,345     17,772     18.9
CN0500100000000   05     001   Arkansas County, AR                               2016         9,267        8,952        315      3.4
CN0500300000000   05     003   Ashley County, AR                                 2016         7,735        7,249        486      6.3
CN0500500000000   05     005   Baxter County, AR                                 2016        16,098       15,408        690      4.3
CN0500700000000   05     007   Benton County, AR                                 2016       127,925      124,210      3,715      2.9
CN0500900000000   05     009   Boone County, AR                                  2016        15,930       15,346        584      3.7
CN0501100000000   05     011   Bradley County, AR                                2016         4,292        4,067        225      5.2
CN0501300000000   05     013   Calhoun County, AR                                2016         2,377        2,268        109      4.6
CN0501500000000   05     015   Carroll County, AR                                2016        12,871       12,414        457      3.6
CN0501700000000   05     017   Chicot County, AR                                 2016         3,582        3,347        235      6.6
CN0501900000000   05     019   Clark County, AR                                  2016         9,384        8,970        414      4.4
CN0502100000000   05     021   Clay County, AR                                   2016         6,037        5,697        340      5.6
CN0502300000000   05     023   Cleburne County, AR                               2016         9,474        8,912        562      5.9
CN0502500000000   05     025   Cleveland County, AR                              2016         3,343        3,193        150      4.5
CN0502700000000   05     027   Columbia County, AR                               2016         9,267        8,738        529      5.7
CN0502900000000   05     029   Conway County, AR                                 2016         8,444        7,962        482      5.7
CN0503100000000   05     031   Craighead County, AR                              2016        52,230       50,539      1,691      3.2
CN0503300000000   05     033   Crawford County, AR                               2016        26,949       25,902      1,047      3.9
CN0503500000000   05     035   Crittenden County, AR                             2016        21,608       20,634        974      4.5
CN0503700000000   05     037   Cross County, AR                                  2016         7,882        7,534        348      4.4
CN0503900000000   05     039   Dallas County, AR                                 2016         2,884        2,739        145      5.0
CN0504100000000   05     041   Desha County, AR                                  2016         5,441        5,145        296      5.4
CN0504300000000   05     043   Drew County, AR                                   2016         7,809        7,357        452      5.8
CN0504500000000   05     045   Faulkner County, AR                               2016        60,553       58,259      2,294      3.8
CN0504700000000   05     047   Franklin County, AR                               2016         7,362        7,066        296      4.0
CN0504900000000   05     049   Fulton County, AR                                 2016         4,666        4,464        202      4.3
CN0505100000000   05     051   Garland County, AR                                2016        40,084       38,363      1,721      4.3
CN0505300000000   05     053   Grant County, AR                                  2016         8,275        7,977        298      3.6
CN0505500000000   05     055   Greene County, AR                                 2016        19,799       18,953        846      4.3
CN0505700000000   05     057   Hempstead County, AR                              2016         9,928        9,554        374      3.8
CN0505900000000   05     059   Hot Spring County, AR                             2016        14,069       13,516        553      3.9
CN0506100000000   05     061   Howard County, AR                                 2016         5,950        5,755        195      3.3
CN0506300000000   05     063   Independence County, AR                           2016        16,006       15,215        791      4.9
CN0506500000000   05     065   Izard County, AR                                  2016         4,964        4,686        278      5.6
CN0506700000000   05     067   Jackson County, AR                                2016         6,057        5,680        377      6.2
CN0506900000000   05     069   Jefferson County, AR                              2016        28,323       26,739      1,584      5.6
CN0507100000000   05     071   Johnson County, AR                                2016        10,526       10,028        498      4.7
CN0507300000000   05     073   Lafayette County, AR                              2016         2,547        2,397        150      5.9
CN0507500000000   05     075   Lawrence County, AR                               2016         6,917        6,618        299      4.3
CN0507700000000   05     077   Lee County, AR                                    2016         3,091        2,946        145      4.7
CN0507900000000   05     079   Lincoln County, AR                                2016         4,095        3,898        197      4.8
CN0508100000000   05     081   Little River County, AR                           2016         5,592        5,331        261      4.7
CN0508300000000   05     083   Logan County, AR                                  2016         9,121        8,703        418      4.6
CN0508500000000   05     085   Lonoke County, AR                                 2016        33,387       32,279      1,108      3.3
CN0508700000000   05     087   Madison County, AR                                2016         7,286        7,053        233      3.2
CN0508900000000   05     089   Marion County, AR                                 2016         6,521        6,261        260      4.0
CN0509100000000   05     091   Miller County, AR                                 2016        19,869       19,038        831      4.2
CN0509300000000   05     093   Mississippi County, AR                            2016        18,066       16,844      1,222      6.8
CN0509500000000   05     095   Monroe County, AR                                 2016         2,879        2,741        138      4.8
CN0509700000000   05     097   Montgomery County, AR                             2016         3,100        2,939        161      5.2
CN0509900000000   05     099   Nevada County, AR                                 2016         3,616        3,482        134      3.7
CN0510100000000   05     101   Newton County, AR                                 2016         3,411        3,280        131      3.8
CN0510300000000   05     103   Ouachita County, AR                               2016         9,816        9,320        496      5.1
CN0510500000000   05     105   Perry County, AR                                  2016         4,167        3,968        199      4.8
CN0510700000000   05     107   Phillips County, AR                               2016         6,657        6,265        392      5.9
CN0510900000000   05     109   Pike County, AR                                   2016         4,170        3,991        179      4.3
CN0511100000000   05     111   Poinsett County, AR                               2016        10,091        9,661        430      4.3
CN0511300000000   05     113   Polk County, AR                                   2016         8,150        7,752        398      4.9
CN0511500000000   05     115   Pope County, AR                                   2016        29,216       27,874      1,342      4.6
CN0511700000000   05     117   Prairie County, AR                                2016         3,650        3,511        139      3.8
CN0511900000000   05     119   Pulaski County, AR                                2016       187,109      180,487      6,622      3.5
CN0512100000000   05     121   Randolph County, AR                               2016         6,521        6,221        300      4.6
CN0512300000000   05     123   St. Francis County, AR                            2016         8,829        8,371        458      5.2
CN0512500000000   05     125   Saline County, AR                                 2016        56,860       55,089      1,771      3.1
CN0512700000000   05     127   Scott County, AR                                  2016         4,420        4,256        164      3.7
CN0512900000000   05     129   Searcy County, AR                                 2016         2,989        2,853        136      4.6
CN0513100000000   05     131   Sebastian County, AR                              2016        57,601       55,461      2,140      3.7
CN0513300000000   05     133   Sevier County, AR                                 2016         5,627        5,352        275      4.9
CN0513500000000   05     135   Sharp County, AR                                  2016         6,050        5,722        328      5.4
CN0513700000000   05     137   Stone County, AR                                  2016         4,740        4,497        243      5.1
CN0513900000000   05     139   Union County, AR                                  2016        16,312       15,421        891      5.5
CN0514100000000   05     141   Van Buren County, AR                              2016         6,101        5,682        419      6.9
CN0514300000000   05     143   Washington County, AR                             2016       118,386      115,134      3,252      2.7
CN0514500000000   05     145   White County, AR                                  2016        34,022       32,258      1,764      5.2
CN0514700000000   05     147   Woodruff County, AR                               2016         2,968        2,806        162      5.5
CN0514900000000   05     149   Yell County, AR                                   2016         8,668        8,281        387      4.5
CN0600100000000   06     001   Alameda County, CA                                2016       832,455      796,753     35,702      4.3
CN0600300000000   06     003   Alpine County, CA                                 2016           555          519         36      6.5
CN0600500000000   06     005   Amador County, CA                                 2016        14,534       13,670        864      5.9
CN0600700000000   06     007   Butte County, CA                                  2016       101,713       94,995      6,718      6.6
CN0600900000000   06     009   Calaveras County, CA                              2016        20,812       19,632      1,180      5.7
CN0601100000000   06     011   Colusa County, CA                                 2016        10,910        9,214      1,696     15.5
CN0601300000000   06     013   Contra Costa County, CA                           2016       553,635      528,876     24,759      4.5
CN0601500000000   06     015   Del Norte County, CA                              2016         9,762        9,028        734      7.5
CN0601700000000   06     017   El Dorado County, CA                              2016        88,888       84,324      4,564      5.1
CN0601900000000   06     019   Fresno County, CA                                 2016       444,982      402,728     42,254      9.5
CN0602100000000   06     021   Glenn County, CA                                  2016        12,956       11,878      1,078      8.3
CN0602300000000   06     023   Humboldt County, CA                               2016        62,468       59,391      3,077      4.9
CN0602500000000   06     025   Imperial County, CA                               2016        75,207       57,049     18,158     24.1
CN0602700000000   06     027   Inyo County, CA                                   2016         8,865        8,397        468      5.3
CN0602900000000   06     029   Kern County, CA                                   2016       388,311      348,006     40,305     10.4
CN0603100000000   06     031   Kings County, CA                                  2016        57,189       51,492      5,697     10.0
CN0603300000000   06     033   Lake County, CA                                   2016        29,086       27,133      1,953      6.7
CN0603500000000   06     035   Lassen County, CA                                 2016        10,369        9,650        719      6.9
CN0603700000000   06     037   Los Angeles County, CA                            2016     5,030,508    4,765,899    264,609      5.3
CN0603900000000   06     039   Madera County, CA                                 2016        61,085       55,443      5,642      9.2
CN0604100000000   06     041   Marin County, CA                                  2016       139,744      135,162      4,582      3.3
CN0604300000000   06     043   Mariposa County, CA                               2016         7,573        7,054        519      6.9
CN0604500000000   06     045   Mendocino County, CA                              2016        39,644       37,555      2,089      5.3
CN0604700000000   06     047   Merced County, CA                                 2016       114,393      102,304     12,089     10.6
CN0604900000000   06     049   Modoc County, CA                                  2016         3,294        3,037        257      7.8
CN0605100000000   06     051   Mono County, CA                                   2016         8,372        7,923        449      5.4
CN0605300000000   06     053   Monterey County, CA                               2016       218,899      202,158     16,741      7.6
CN0605500000000   06     055   Napa County, CA                                   2016        72,994       69,862      3,132      4.3
CN0605700000000   06     057   Nevada County, CA                                 2016        48,182       45,879      2,303      4.8
CN0605900000000   06     059   Orange County, CA                                 2016     1,598,784    1,534,101     64,683      4.0
CN0606100000000   06     061   Placer County, CA                                 2016       179,769      171,704      8,065      4.5
CN0606300000000   06     063   Plumas County, CA                                 2016         7,854        7,091        763      9.7
CN0606500000000   06     065   Riverside County, CA                              2016     1,052,365      988,072     64,293      6.1
CN0606700000000   06     067   Sacramento County, CA                             2016       694,482      656,950     37,532      5.4
CN0606900000000   06     069   San Benito County, CA                             2016        30,453       28,423      2,030      6.7
CN0607100000000   06     071   San Bernardino County, CA                         2016       930,888      877,173     53,715      5.8
CN0607300000000   06     073   San Diego County, CA                              2016     1,564,339    1,490,482     73,857      4.7
CN0607500000000   06     075   San Francisco County/city, CA                     2016       555,755      537,455     18,300      3.3
CN0607700000000   06     077   San Joaquin County, CA                            2016       318,508      292,630     25,878      8.1
CN0607900000000   06     079   San Luis Obispo County, CA                        2016       139,585      133,558      6,027      4.3
CN0608100000000   06     081   San Mateo County, CA                              2016       442,147      428,667     13,480      3.0
CN0608300000000   06     083   Santa Barbara County, CA                          2016       215,420      204,513     10,907      5.1
CN0608500000000   06     085   Santa Clara County, CA                            2016     1,028,720      989,938     38,782      3.8
CN0608700000000   06     087   Santa Cruz County, CA                             2016       143,850      133,851      9,999      7.0
CN0608900000000   06     089   Shasta County, CA                                 2016        74,255       69,082      5,173      7.0
CN0609100000000   06     091   Sierra County, CA                                 2016         1,334        1,233        101      7.6
CN0609300000000   06     093   Siskiyou County, CA                               2016        17,906       16,385      1,521      8.5
CN0609500000000   06     095   Solano County, CA                                 2016       207,419      196,011     11,408      5.5
CN0609700000000   06     097   Sonoma County, CA                                 2016       259,412      249,100     10,312      4.0
CN0609900000000   06     099   Stanislaus County, CA                             2016       242,879      221,970     20,909      8.6
CN0610100000000   06     101   Sutter County, CA                                 2016        45,006       40,649      4,357      9.7
CN0610300000000   06     103   Tehama County, CA                                 2016        25,088       23,302      1,786      7.1
CN0610500000000   06     105   Trinity County, CA                                2016         4,996        4,642        354      7.1
CN0610700000000   06     107   Tulare County, CA                                 2016       203,393      180,666     22,727     11.2
CN0610900000000   06     109   Tuolumne County, CA                               2016        21,582       20,240      1,342      6.2
CN0611100000000   06     111   Ventura County, CA                                2016       425,658      403,448     22,210      5.2
CN0611300000000   06     113   Yolo County, CA                                   2016       106,150       99,902      6,248      5.9
CN0611500000000   06     115   Yuba County, CA                                   2016        28,170       25,746      2,424      8.6
CN0800100000000   08     001   Adams County, CO                                  2016       253,825      244,897      8,928      3.5
CN0800300000000   08     003   Alamosa County, CO                                2016         7,974        7,657        317      4.0
CN0800500000000   08     005   Arapahoe County, CO                               2016       340,924      330,523     10,401      3.1
CN0800700000000   08     007   Archuleta County, CO                              2016         6,371        6,165        206      3.2
CN0800900000000   08     009   Baca County, CO                                   2016         2,094        2,059         35      1.7
CN0801100000000   08     011   Bent County, CO                                   2016         1,853        1,797         56      3.0
CN0801300000000   08     013   Boulder County, CO                                2016       181,034      176,281      4,753      2.6
CN0801400000000   08     014   Broomfield County/city, CO                        2016        36,815       35,767      1,048      2.8
CN0801500000000   08     015   Chaffee County, CO                                2016         8,851        8,620        231      2.6
CN0801700000000   08     017   Cheyenne County, CO                               2016         1,082        1,058         24      2.2
CN0801900000000   08     019   Clear Creek County, CO                            2016         5,693        5,513        180      3.2
CN0802100000000   08     021   Conejos County, CO                                2016         3,775        3,594        181      4.8
CN0802300000000   08     023   Costilla County, CO                               2016         1,730        1,648         82      4.7
CN0802500000000   08     025   Crowley County, CO                                2016         1,423        1,374         49      3.4
CN0802700000000   08     027   Custer County, CO                                 2016         2,020        1,958         62      3.1
CN0802900000000   08     029   Delta County, CO                                  2016        13,969       13,293        676      4.8
CN0803100000000   08     031   Denver County/city, CO                            2016       385,402      373,636     11,766      3.1
CN0803300000000   08     033   Dolores County, CO                                2016         1,072        1,031         41      3.8
CN0803500000000   08     035   Douglas County, CO                                2016       177,701      173,038      4,663      2.6
CN0803700000000   08     037   Eagle County, CO                                  2016        33,758       32,846        912      2.7
CN0803900000000   08     039   Elbert County, CO                                 2016        13,812       13,459        353      2.6
CN0804100000000   08     041   El Paso County, CO                                2016       314,984      303,345     11,639      3.7
CN0804300000000   08     043   Fremont County, CO                                2016        14,717       13,968        749      5.1
CN0804500000000   08     045   Garfield County, CO                               2016        31,024       29,957      1,067      3.4
CN0804700000000   08     047   Gilpin County, CO                                 2016         3,488        3,406         82      2.4
CN0804900000000   08     049   Grand County, CO                                  2016         9,197        8,954        243      2.6
CN0805100000000   08     051   Gunnison County, CO                               2016        10,146        9,917        229      2.3
CN0805300000000   08     053   Hinsdale County, CO                               2016           448          437         11      2.5
CN0805500000000   08     055   Huerfano County, CO                               2016         2,503        2,347        156      6.2
CN0805700000000   08     057   Jackson County, CO                                2016           892          869         23      2.6
CN0805900000000   08     059   Jefferson County, CO                              2016       315,665      306,485      9,180      2.9
CN0806100000000   08     061   Kiowa County, CO                                  2016           847          830         17      2.0
CN0806300000000   08     063   Kit Carson County, CO                             2016         4,543        4,448         95      2.1
CN0806500000000   08     065   Lake County, CO                                   2016         4,622        4,492        130      2.8
CN0806700000000   08     067   La Plata County, CO                               2016        31,017       30,141        876      2.8
CN0806900000000   08     069   Larimer County, CO                                2016       187,550      182,372      5,178      2.8
CN0807100000000   08     071   Las Animas County, CO                             2016         6,192        5,884        308      5.0
CN0807300000000   08     073   Lincoln County, CO                                2016         2,282        2,224         58      2.5
CN0807500000000   08     075   Logan County, CO                                  2016        11,026       10,707        319      2.9
CN0807700000000   08     077   Mesa County, CO                                   2016        72,159       68,373      3,786      5.2
CN0807900000000   08     079   Mineral County, CO                                2016           464          454         10      2.2
CN0808100000000   08     081   Moffat County, CO                                 2016         7,189        6,908        281      3.9
CN0808300000000   08     083   Montezuma County, CO                              2016        12,735       12,112        623      4.9
CN0808500000000   08     085   Montrose County, CO                               2016        20,086       19,268        818      4.1
CN0808700000000   08     087   Morgan County, CO                                 2016        15,054       14,542        512      3.4
CN0808900000000   08     089   Otero County, CO                                  2016         8,121        7,745        376      4.6
CN0809100000000   08     091   Ouray County, CO                                  2016         2,168        2,088         80      3.7
CN0809300000000   08     093   Park County, CO                                   2016         9,844        9,574        270      2.7
CN0809500000000   08     095   Phillips County, CO                               2016         2,474        2,426         48      1.9
CN0809700000000   08     097   Pitkin County, CO                                 2016        10,747       10,390        357      3.3
CN0809900000000   08     099   Prowers County, CO                                2016         6,010        5,819        191      3.2
CN0810100000000   08     101   Pueblo County, CO                                 2016        73,155       69,712      3,443      4.7
CN0810300000000   08     103   Rio Blanco County, CO                             2016         2,740        2,603        137      5.0
CN0810500000000   08     105   Rio Grande County, CO                             2016         5,161        4,909        252      4.9
CN0810700000000   08     107   Routt County, CO                                  2016        14,923       14,538        385      2.6
CN0810900000000   08     109   Saguache County, CO                               2016         3,230        3,075        155      4.8
CN0811100000000   08     111   San Juan County, CO                               2016           480          463         17      3.5
CN0811300000000   08     113   San Miguel County, CO                             2016         5,190        5,024        166      3.2
CN0811500000000   08     115   Sedgwick County, CO                               2016         1,179        1,152         27      2.3
CN0811700000000   08     117   Summit County, CO                                 2016        21,150       20,719        431      2.0
CN0811900000000   08     119   Teller County, CO                                 2016        11,743       11,315        428      3.6
CN0812100000000   08     121   Washington County, CO                             2016         2,923        2,861         62      2.1
CN0812300000000   08     123   Weld County, CO                                   2016       150,089      145,044      5,045      3.4
CN0812500000000   08     125   Yuma County, CO                                   2016         5,444        5,330        114      2.1
CN0900100000000   09     001   Fairfield County, CT                              2016       480,522      457,108     23,414      4.9
CN0900300000000   09     003   Hartford County, CT                               2016       474,523      449,088     25,435      5.4
CN0900500000000   09     005   Litchfield County, CT                             2016       104,779       99,828      4,951      4.7
CN0900700000000   09     007   Middlesex County, CT                              2016        92,223       88,120      4,103      4.4
CN0900900000000   09     009   New Haven County, CT                              2016       455,053      429,903     25,150      5.5
CN0901100000000   09     011   New London County, CT                             2016       136,008      129,023      6,985      5.1
CN0901300000000   09     013   Tolland County, CT                                2016        85,364       81,528      3,836      4.5
CN0901500000000   09     015   Windham County, CT                                2016        62,804       59,308      3,496      5.6
CN1000100000000   10     001   Kent County, DE                                   2016        77,259       73,467      3,792      4.9
CN1000300000000   10     003   New Castle County, DE                             2016       293,884      280,885     12,999      4.4
CN1000500000000   10     005   Sussex County, DE                                 2016       101,100       96,560      4,540      4.5
CN1100100000000   11     001   District of Columbia                              2016       395,021      370,897     24,124      6.1
CN1200100000000   12     001   Alachua County, FL                                2016       132,521      126,849      5,672      4.3
CN1200300000000   12     003   Baker County, FL                                  2016        11,409       10,853        556      4.9
CN1200500000000   12     005   Bay County, FL                                    2016        87,847       83,662      4,185      4.8
CN1200700000000   12     007   Bradford County, FL                               2016        10,852       10,390        462      4.3
CN1200900000000   12     009   Brevard County, FL                                2016       262,336      248,927     13,409      5.1
CN1201100000000   12     011   Broward County, FL                                2016     1,003,202      958,071     45,131      4.5
CN1201300000000   12     013   Calhoun County, FL                                2016         4,982        4,696        286      5.7
CN1201500000000   12     015   Charlotte County, FL                              2016        69,230       65,546      3,684      5.3
CN1201700000000   12     017   Citrus County, FL                                 2016        47,800       44,588      3,212      6.7
CN1201900000000   12     019   Clay County, FL                                   2016       100,942       96,402      4,540      4.5
CN1202100000000   12     021   Collier County, FL                                2016       169,065      161,176      7,889      4.7
CN1202300000000   12     023   Columbia County, FL                               2016        29,734       28,286      1,448      4.9
CN1202700000000   12     027   DeSoto County, FL                                 2016        13,459       12,751        708      5.3
CN1202900000000   12     029   Dixie County, FL                                  2016         5,646        5,339        307      5.4
CN1203100000000   12     031   Duval County, FL                                  2016       467,244      444,319     22,925      4.9
